CustomerID,Name,Email,Age,Country
1,Diana Alexander,russellbrittany@gmail.com,56,China
2,Marissa Morales,bmckay@murphy-roberts.com,69,Venezuela
3,Andrea Freeman,tgay@glover-clarke.com,46,Burkina Faso
4,Joseph Garcia,thomascarol@gmail.com,32,Libyan Arab Jamahiriya
5,Luke West,brandondavis@bryan-johnston.org,60,Jersey
6,Stephen Bennett,nicholas09@gmail.com,25,Malaysia
7,Wyatt Sanchez,djohnson@williams-johnson.com,38,Tonga
8,Kenneth Campbell,melissa39@watkins-garcia.com,56,Benin
9,Christopher Simmons,martinezdaniel@hotmail.com,36,Yemen
10,Charles Pitts,gmaxwell@foster.biz,40,Congo
11,Timothy Hamilton,davismelody@miles-hernandez.org,28,Kazakhstan
12,Daniel Morgan,terriking@gmail.com,28,Kenya
13,Michael Henson,caitlingraham@yahoo.com,41,Grenada
14,Stephen Edwards,jeff80@carlson.org,53,Montenegro
15,Pamela Conner,duncanalice@gmail.com,57,Portugal
16,Kelly Hernandez,bryanscott@curry-perez.info,41,Malta
17,Paul Reid,stevenhudson@martin.info,20,Malawi
18,Dr. Jennifer Young,vaughnscott@davies-colon.net,39,Macao
19,Patrick Jones,teresa95@hotmail.com,19,United Arab Emirates
20,Luis Miller,williamprice@yahoo.com,41,Uganda
21,Joshua Cook,williamsbrandon@collins.com,61,Saint Barthelemy
22,Hunter Phillips,joseph00@carney-martinez.com,47,Lesotho
23,Eileen Grant,harrisonryan@gray.biz,55,Saint Helena
24,Joseph Smith,usolis@craig.com,19,Vietnam
25,Austin Soto,zcastillo@yahoo.com,38,Dominica
26,Laura Monroe,jmartinez@austin-hall.biz,50,Ethiopia
27,Walter Garcia,ncook@torres-moore.com,29,Netherlands
28,Lisa Owens,bking@yahoo.com,39,Taiwan
29,Tammy Miller,brent10@hotmail.com,61,Nicaragua
30,Jennifer Leon,fadams@gmail.com,42,Aruba
31,Connie Ferrell,christian35@gmail.com,66,Lesotho
32,Jennifer Shaw,lewismichael@yahoo.com,44,Turkey
33,Christina Cox,wmacdonald@gmail.com,59,Philippines
34,Kelly Davis,jonathon00@cole.com,45,Tokelau
35,Jillian Elliott,davidphillips@sanchez-mccullough.com,33,Lesotho
36,Lance Hicks,vincent69@long.com,32,Colombia
37,Kimberly Love,carpenterscott@johnson-nguyen.com,64,Palestinian Territory
38,Kyle Davis,gavinjohnson@maynard.com,68,Kazakhstan
39,Lori Ramsey,longclayton@bowen.com,61,Bangladesh
40,Jason Powell,obrewer@reyes.com,69,Seychelles
41,Heather Gilmore,ybell@yahoo.com,20,Pakistan
42,Michael Ball,mcintoshrobert@lynch.com,54,Saint Barthelemy
43,Patricia Brown,ebecker@hotmail.com,68,Uruguay
